Country,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Vendor,Line Item Quantity,Line Item Value,Pack Price,Unit Price,First Line Designation,FreightCost ,LineItemInsurance  ,Manufacturing country
"Congo, DRC",EXW,Air,7-Feb-15,2-Jul-15,"Trinity Biotech, Plc",65,2080.0,32.0,1.6,No,See ASN-31750 (ID#:19272),2.45,India
"Congo, DRC",EXW,Air,7-Feb-15,2-Jul-15,"Trinity Biotech, Plc",73,2336.0,32.0,1.6,No,See ASN-31750 (ID#:19272),2.75,India
"Congo, DRC",EXW,Air,7-Feb-15,2-Jul-15,"Trinity Biotech, Plc",39,1248.0,32.0,1.6,No,See ASN-31750 (ID#:19272),1.47,India
"Congo, DRC",EXW,Air,7-Feb-15,2-Jul-15,"Trinity Biotech, Plc",41,1312.0,32.0,1.6,No,See ASN-31750 (ID#:19272),1.54,India
"Congo, DRC",EXW,Air,7-Feb-15,2-Jul-15,"Trinity Biotech, Plc",9,288.0,32.0,1.6,No,See ASN-31750 (ID#:19272),0.34,India
"Congo, DRC",EXW,Air,7-Feb-15,2-Jul-15,"Trinity Biotech, Plc",40,1280.0,32.0,1.6,No,See ASN-31750 (ID#:19272),1.51,India
"Congo, DRC",EXW,Air,7-Feb-15,2-Jul-15,"Trinity Biotech, Plc",47,1504.0,32.0,1.6,No,See ASN-31750 (ID#:19272),1.77,India
"Congo, DRC",EXW,Air,7-Feb-15,2-Jul-15,"Trinity Biotech, Plc",15,480.0,32.0,1.6,No,See ASN-31750 (ID#:19272),0.56,India
"Congo, DRC",EXW,Air,7-Feb-15,2-Jul-15,"Trinity Biotech, Plc",214,6848.0,32.0,1.6,No,See ASN-31750 (ID#:19272),8.06,India
"Congo, DRC",EXW,Air,7-Feb-15,2-Jul-15,"Trinity Biotech, Plc",77,2464.0,32.0,1.6,No,See ASN-31750 (ID#:19272),2.9,India
"Congo, DRC",EXW,Air,7-Feb-15,2-Jul-15,"Trinity Biotech, Plc",89,2848.0,32.0,1.6,No,See ASN-31750 (ID#:19272),3.35,India
"Congo, DRC",EXW,Air,7-Feb-15,2-Jul-15,"Trinity Biotech, Plc",353,11296.0,32.0,1.6,No,See ASN-31750 (ID#:19272),13.3,India
Haiti,EXW,Air,5-Nov-15,11-May-15,Aurobindo Pharma Limited,19987,135311.99,6.77,0.11,No,See ASN-31572 (ID#:24983),139.1,India
Zimbabwe,FCA,Air,22-Apr-15,22-Apr-15,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),14322,85072.68,5.94,0.1,No,See ASN-31449 (ID#:41304),100.13,Germany
South Sudan,EXW,Air,5-Aug-15,8-May-15,"Trinity Biotech, Plc",18,576.0,32.0,1.6,No,See ASN-31129 (ID#:40205),0.68,India
South Sudan,EXW,Air,5-Aug-15,8-May-15,"Trinity Biotech, Plc",10,320.0,32.0,1.6,No,See ASN-31129 (ID#:40205),0.38,India
South Sudan,EXW,Air,5-Aug-15,8-May-15,"Trinity Biotech, Plc",450,14400.0,32.0,1.6,No,See ASN-31129 (ID#:40205),16.95,India
South Sudan,EXW,Air,5-Aug-15,8-May-15,"Trinity Biotech, Plc",25,800.0,32.0,1.6,No,See ASN-31129 (ID#:40205),0.94,India
South Sudan,EXW,Air,5-Aug-15,8-May-15,"Trinity Biotech, Plc",50,1600.0,32.0,1.6,No,See ASN-31129 (ID#:40205),1.88,India
Namibia,EXW,Air,27-Jan-09,27-Jan-09,INVERNESS MEDICAL INNOVATIONS SOUTH AFRICA (PTY) LTD,7,490.0,70.0,0.7,No,See ASN-3110 (ID#:2173),0.96,India
Vietnam,EXW,Air,14-Apr-15,14-Apr-15,HETERO LABS LIMITED,12200,42700.0,3.5,0.12,No,See ASN-30942 (ID#:19840),43.9,India
Vietnam,EXW,Air,14-Apr-15,14-Apr-15,HETERO LABS LIMITED,14000,49700.0,3.55,0.12,No,See ASN-30942 (ID#:19840),51.09,India
Vietnam,EXW,Air,31-Mar-15,31-Mar-15,HETERO LABS LIMITED,800,8960.0,11.2,0.19,No,See ASN-30941 (ID#:32306),9.21,India
Vietnam,EXW,Air,31-Mar-15,31-Mar-15,HETERO LABS LIMITED,8000,28400.0,3.55,0.12,No,See ASN-30941 (ID#:32306),29.2,India
